Carrier,Activity,Data_Direction,LTE_Signal_Strength,Final_Test_Speed,Network_Types
A,Drive,Download,-93.33333333,6442.046017,LTE
A,Drive,Download,-69.25,35071.97556,LTE
A,Drive,Download,-101.6666667,5001.598829,LTE
A,Drive,Download,-85.66666667,8398.051964,LTE
A,Drive,Download,-89,4849.453495,LTE
A,Drive,Download,-85,17797.94788,LTE
A,Drive,Download,-80,12555.91229,LTE
A,Drive,Download,-83,17761.30234,LTE
A,Drive,Download,-81,15633.66308,LTE
A,Drive,Download,-81,13617.57979,LTE
A,Drive,Download,-81,16317.05014,LTE
A,Drive,Download,-64.5,20906.91962,LTE
A,Drive,Download,-91.33333333,10531.14869,LTE
A,Drive,Download,-59.75,43105.88215,LTE
A,Drive,Download,-92,11107.23507,LTE
A,Drive,Download,-97.5,13686.1251,LTE
A,Drive,Download,-69.25,32304.23774,LTE
A,Drive,Download,-95,2618.428887,LTE
A,Drive,Download,-96,3181.774527,LTE
A,Drive,Download,-98.66666667,6255.22541,LTE
A,Drive,Download,-66.66666667,44531.88424,LTE
A,Drive,Download,-70,40395.90121,LTE
A,Drive,Download,-81.66666667,13182.62172,LTE
A,Drive,Download,-96.25,346.4781634,LTE
A,Drive,Download,-81,25941.38459,LTE
A,Drive,Download,-84,14301.5626,LTE
A,Drive,Download,-88.66666667,11554.81478,LTE
A,Drive,Download,-87.33333333,18714.59731,LTE
A,Drive,Download,-88,17735.66752,LTE
A,Drive,Download,-88,16057.27835,LTE
A,Drive,Download,-87,27368.38862,LTE
A,Drive,Download,-95.5,10933.32313,LTE
A,Drive,Download,-80,24764.76213,LTE
A,Drive,Download,-93.66666667,15076.56818,LTE
A,Drive,Download,-75,24158.08357,LTE
A,Drive,Download,-96.5,944.9628646,LTE
A,Drive,Download,,1584.926515,"HSPA,HSPA+"
A,Drive,Download,-97,15889.64098,LTE
A,Drive,Download,-90.5,37396.79336,LTE
A,Drive,Download,-61.33333333,40847.90307,LTE
A,Drive,Download,-100,2330.777321,LTE
A,Drive,Download,-77,5185.4061,LTE
A,Drive,Download,-95,7079.11171,LTE
A,Drive,Download,-69,55596.28369,LTE
A,Drive,Download,-71,32268.63892,LTE
A,Drive,Download,-85,32602.87958,LTE
A,Drive,Download,-91,21131.95364,LTE
A,Drive,Download,-90,26787.01049,LTE
A,Drive,Download,-90,26580.09964,LTE
A,Drive,Download,-105.6666667,7245.314079,LTE
A,Drive,Download,-91.33333333,16873.67466,LTE
A,Drive,Download,-102.6666667,4512.396322,LTE
A,Drive,Download,-96.66666667,4078.008265,LTE
A,Drive,Download,-77,12868.94801,LTE
A,Drive,Download,-91.33333333,15715.06297,LTE
A,Drive,Download,-90.5,33765.58775,LTE
A,Drive,Download,-73,34016.871,LTE
A,Drive,Download,-97,927.418255,LTE
A,Drive,Download,-100.3333333,6869.865926,LTE
A,Drive,Download,-96,3351.431841,LTE
A,Drive,Download,-83,13857.1814,LTE
A,Drive,Download,-82.5,22448.04719,LTE
A,Drive,Download,-84,25560.83705,LTE
A,Drive,Download,-88,21395.48701,LTE
A,Drive,Download,-83,37770.44919,LTE
A,Drive,Download,-80.25,47204.10938,LTE
A,Drive,Download,-73.66666667,38614.47137,LTE
A,Drive,Download,-87.66666667,2709.122451,LTE
A,Drive,Download,-98.66666667,13110.91026,LTE
A,Drive,Download,-68.5,44404.70599,LTE
A,Drive,Download,-103,2233.703243,LTE
A,Drive,Download,-84,12766.72197,LTE
A,Drive,Download,-84,11982.82113,LTE
A,Drive,Download,-101.6666667,10840.50673,LTE
A,Drive,Download,-104,2423.520649,LTE
A,Drive,Download,-102.3333333,8360.286085,LTE
A,Drive,Download,-83,22412.39065,LTE
A,Drive,Download,-98.66666667,16789.31235,LTE
A,Drive,Download,-100.5,7270.294866,LTE
A,Drive,Download,-104,666.7527192,LTE
A,Drive,Download,-94,8659.803993,LTE
A,Drive,Download,-95.66666667,1653.714749,LTE
A,Drive,Download,-103,793.0205148,LTE
A,Drive,Download,-102.6666667,6503.953355,LTE
A,Drive,Download,-100,8514.484712,LTE
A,Drive,Download,-97,8635.797782,LTE
A,Drive,Download,-78.5,9095.866976,LTE
A,Drive,Download,-83.66666667,14135.47386,LTE
A,Drive,Download,-67,32900.92764,LTE
A,Drive,Download,-93,4973.552147,LTE
A,Drive,Download,-83.25,7933.081385,LTE
A,Drive,Download,-99,1745.832466,LTE
A,Drive,Download,-86,60107.68655,LTE
A,Drive,Download,-100.6666667,2159.030275,LTE
A,Drive,Download,-97,1702.711841,LTE
A,Drive,Download,-90.66666667,11135.67567,LTE
A,Drive,Download,-101,5301.961597,LTE
A,Drive,Download,-100,4162.359607,LTE
A,Drive,Download,-96,5392.125787,LTE
A,Drive,Download,-99,6551.545215,LTE
A,Drive,Download,-96.5,5379.308413,LTE
A,Drive,Download,-92.5,25547.23345,LTE
A,Drive,Download,-106.5,269.1774743,LTE
A,Drive,Download,-84,13557.39903,LTE
A,Drive,Download,,1349.770542,"HSPA,HSPA+"
A,Drive,Download,-98.33333333,12273.9575,LTE
A,Drive,Download,-99.33333333,4440.061502,LTE
A,Drive,Download,-65.33333333,39137.36416,LTE
A,Drive,Download,-98.33333333,9414.541848,LTE
A,Drive,Download,-92.66666667,8282.114306,LTE
A,Drive,Download,-88,2854.149597,LTE
A,Drive,Download,-85,6320.235393,LTE
A,Drive,Download,-87,2472.609599,LTE
A,Drive,Download,-85,9159.760616,LTE
A,Drive,Download,-89,4757.000859,LTE
A,Drive,Download,-85,3824.015119,LTE
A,Drive,Download,-88.5,3460.40926,LTE
A,Drive,Download,-89.33333333,5576.68119,LTE
A,Drive,Download,-89,3610.648451,LTE
A,Drive,Download,-89,7470.030101,LTE
A,Drive,Download,-89,5735.916733,LTE
A,Drive,Download,-79.33333333,2610.125777,LTE
A,Drive,Download,-97.66666667,6659.647585,LTE
A,Drive,Download,-90.5,22449.21269,LTE
A,Drive,Download,-78,35247.89479,LTE
A,Drive,Download,-93.33333333,6769.012612,LTE
A,Drive,Download,-93,5170.932072,LTE
A,Drive,Download,-92,4551.692426,LTE
A,Drive,Download,-94,5206.268685,LTE
A,Drive,Download,-89.66666667,8823.999335,LTE
A,Drive,Download,-89.66666667,14221.24102,LTE
A,Drive,Download,-93.5,22123.68262,LTE
A,Drive,Download,-77,19096.22051,LTE
A,Drive,Download,-80.33333333,7276.793705,LTE
A,Drive,Download,-80,14382.44937,LTE
A,Drive,Download,-90.66666667,23550.18238,LTE
A,Drive,Download,-71.33333333,36598.27468,LTE
A,Drive,Download,-89.33333333,18494.74006,LTE
A,Drive,Download,-90,21404.37822,LTE
A,Drive,Download,-89,27897.17895,LTE
A,Drive,Download,-95.33333333,3745.127737,LTE
A,Drive,Download,-87.66666667,34716.85561,LTE
A,Drive,Download,-90.33333333,19317.56728,LTE
A,Drive,Download,-76,50902.885,LTE
A,Drive,Download,-76,46741.86774,LTE
A,Drive,Download,-70,46290.8878,LTE
A,Drive,Download,-91.33333333,2723.604265,LTE
A,Drive,Download,-94.66666667,17587.401,LTE
A,Drive,Download,-87.66666667,24391.41027,LTE
A,Drive,Download,-92.66666667,4862.338408,LTE
A,Drive,Download,-72.5,16683.67482,LTE
A,Drive,Download,-103.6666667,2027.154684,LTE
A,Drive,Download,-99.66666667,25187.71175,LTE
A,Drive,Download,-94,4720.151104,LTE
A,Drive,Download,-102,35578.86631,LTE
A,Drive,Download,-100.5,3486.932063,LTE
A,Drive,Download,-95.66666667,7526.386508,LTE
A,Drive,Download,-82,31913.35438,LTE
A,Drive,Download,-80,41193.23672,LTE
A,Drive,Download,-102.6666667,7810.452088,LTE
A,Drive,Download,-100.3333333,3195.371923,LTE
A,Drive,Download,-100.6666667,2690.62964,LTE
A,Drive,Download,-88,10430.717,LTE
A,Drive,Download,-101.3333333,7395.533644,LTE
A,Drive,Download,-79.33333333,4244.415471,LTE
A,Drive,Download,-72.33333333,14417.56894,LTE
A,Drive,Download,-115,288.792762,LTE
A,Drive,Download,-93,12941.286,LTE
A,Drive,Download,-101.6666667,2737.605055,LTE
A,Drive,Download,-92.66666667,5844.22204,LTE
A,Drive,Download,-88.5,7557.552762,LTE
A,Drive,Download,-66.5,58368.51723,LTE
A,Drive,Download,-76.5,14655.50354,LTE
A,Drive,Download,-97.33333333,4802.528865,LTE
A,Drive,Download,-81,8263.437015,LTE
A,Drive,Download,-91.66666667,2730.215985,LTE
A,Drive,Download,-93,7983.149245,LTE
A,Drive,Download,-95,9185.73815,LTE
A,Drive,Download,-93,4607.327078,LTE
A,Drive,Download,-100.6666667,2925.027485,LTE
A,Drive,Download,-87.33333333,49359.9332,LTE
A,Drive,Download,-80,44988.97735,LTE
A,Drive,Download,-93,21090.31701,LTE
A,Drive,Download,-89.33333333,11160.34944,LTE
A,Drive,Download,-91,9693.569034,LTE
A,Drive,Download,-103,2856.158121,LTE
A,Drive,Download,-99,983.6681437,LTE
A,Drive,Download,-85,8515.33514,LTE
A,Drive,Download,-91,11101.41877,LTE
A,Drive,Download,-83.33333333,32431.9564,LTE
A,Drive,Download,-89.66666667,11480.31916,LTE
A,Drive,Download,-95,4021.509289,LTE
A,Drive,Download,-100,11006.57385,LTE
A,Drive,Download,-98.66666667,6073.099887,LTE
A,Drive,Download,-102.5,5093.346111,LTE
A,Drive,Download,-88,17169.2928,LTE
A,Drive,Download,-94.33333333,2292.442075,LTE
A,Drive,Download,-72.33333333,32941.69856,LTE
A,Drive,Download,-105,6482.007424,LTE
A,Drive,Download,-99.66666667,10683.73568,LTE
A,Drive,Download,,9204.930988,"HSPA,HSPA+"
A,Drive,Download,-99.5,1612.341349,LTE
A,Drive,Download,-74,46509.03438,LTE
A,Drive,Download,-93,34521.95557,LTE
A,Drive,Download,-108.5,1552.236815,LTE
A,Drive,Download,-109,2709.985866,LTE
A,Drive,Download,-106,2694.942843,LTE
A,Drive,Download,-91.5,27420.55447,LTE
A,Drive,Download,-93.33333333,3861.007025,LTE
A,Drive,Download,-95,1891.343203,LTE
A,Drive,Download,-90,2755.816873,LTE
A,Drive,Download,-93,13260.6464,LTE
A,Drive,Download,-91,4320.677316,LTE
A,Drive,Download,-96,1186.381924,LTE
A,Drive,Download,-91.5,2893.062205,LTE
A,Drive,Download,-82.5,10226.64654,LTE
A,Drive,Download,-86.33333333,3255.674453,LTE
A,Drive,Download,-105,3094.370075,LTE
A,Drive,Download,-94.66666667,15915.75366,LTE
A,Drive,Download,-76,14847.25966,LTE
A,Drive,Download,-89,12071.15379,LTE
A,Drive,Download,-76,40512.27705,LTE
A,Drive,Download,-106.6666667,569.823737,LTE
A,Drive,Download,-105.5,1588.911854,LTE
A,Drive,Download,-100,12659.78572,LTE
A,Drive,Download,-91.33333333,5978.197896,LTE
A,Drive,Download,-94,7712.941649,LTE
A,Drive,Download,-94,7640.13795,LTE
A,Drive,Download,-80.66666667,19975.1162,LTE
A,Drive,Download,-98.5,16083.8898,LTE
A,Drive,Download,-78.33333333,7281.117284,LTE
A,Drive,Download,-80,16583.64974,LTE
A,Drive,Download,-86.33333333,9528.009333,LTE
A,Drive,Download,-99.66666667,4542.346396,LTE
A,Drive,Download,-92,6693.567459,LTE
A,Drive,Download,-95,4694.944837,LTE
A,Drive,Download,-84.5,39560.88987,LTE
A,Drive,Download,-86,6416.557391,LTE
A,Drive,Download,-85,7889.537429,LTE
A,Drive,Download,-100.3333333,9976.446962,LTE
A,Drive,Download,-89,13601.51071,LTE
A,Drive,Download,-92.5,2049.981162,LTE
A,Drive,Download,-95,1909.590872,LTE
A,Drive,Download,-93.66666667,13162.73069,LTE
A,Drive,Download,-105,817.4083371,LTE
A,Drive,Download,-104.5,7329.202495,LTE
A,Drive,Download,-69,47723.8321,LTE
A,Drive,Download,-97.33333333,4653.237464,LTE
A,Drive,Download,-71,22847.0825,LTE
A,Drive,Download,-96.33333333,2834.710486,LTE
A,Drive,Download,-102,1970.088099,LTE
A,Drive,Download,-97,4601.426862,LTE
A,Drive,Download,-91.33333333,26106.32146,LTE
A,Drive,Download,-96.33333333,5432.607859,LTE
A,Drive,Download,-91,10545.39823,LTE
A,Drive,Download,-100,4716.477971,LTE
A,Drive,Download,-90,24014.50894,LTE
A,Drive,Download,-68.33333333,29982.79263,LTE
A,Drive,Download,-78.66666667,17842.08361,LTE
A,Drive,Download,-98.66666667,5858.345795,LTE
A,Drive,Download,-83,12140.5007,LTE
A,Drive,Download,-95.66666667,10773.61144,LTE
A,Drive,Download,-63,21984.63941,LTE
A,Drive,Download,-64,36113.36106,LTE
A,Drive,Download,-98,8591.103483,LTE
A,Drive,Download,-97,10254.92403,LTE
A,Drive,Download,-94.66666667,2710.790627,LTE
A,Drive,Download,-87,19648.99616,LTE
A,Drive,Download,-74.66666667,15761.40329,LTE
A,Drive,Download,-98,12344.92534,LTE
A,Drive,Download,-90,15683.41137,LTE
A,Drive,Download,-92,10945.26078,LTE
A,Drive,Download,-83.5,21916.4421,LTE
A,Drive,Download,-82,12773.15773,LTE
A,Drive,Download,-77.5,6020.704376,LTE
A,Drive,Download,-77.33333333,4239.971698,LTE
A,Drive,Download,-71,7128.495684,LTE
A,Drive,Download,-92.66666667,6952.319424,LTE
A,Drive,Download,-87.66666667,12790.78024,LTE
A,Drive,Download,-83,17235.13369,LTE
A,Drive,Download,-95.5,4358.784687,LTE
A,Drive,Download,-75,18750.75462,LTE
A,Drive,Download,-88,18147.19903,LTE
A,Drive,Download,-96,9554.532489,LTE
A,Drive,Download,-93,11518.65773,LTE
A,Drive,Download,-97,12828.20629,LTE
A,Drive,Download,-93,10245.1423,LTE
A,Drive,Download,-100,9484.321428,LTE
A,Drive,Download,-88.66666667,15817.1956,LTE
A,Drive,Download,-81.5,52366.62962,LTE
A,Drive,Download,-98.33333333,4777.271231,LTE
A,Drive,Download,-86.5,9887.918669,LTE
A,Drive,Download,-103.6666667,3330.461158,LTE
A,Drive,Download,-95,4214.411341,LTE
A,Drive,Download,-99,14147.46289,LTE
A,Drive,Download,-96,7585.347331,LTE
A,Drive,Download,-84.33333333,14349.05288,LTE
A,Drive,Download,-94,15741.03877,LTE
A,Drive,Download,-89,17867.42533,LTE
A,Drive,Download,-96,8292.117933,LTE
A,Drive,Download,-72,42348.06668,LTE
A,Drive,Download,-101.6666667,3272.03377,LTE
A,Drive,Download,-99,3651.94803,LTE
A,Drive,Download,-103,4020.747384,LTE
A,Drive,Download,-83,40314.48029,LTE
A,Drive,Download,-99.5,8314.959346,LTE
A,Drive,Download,-80,33926.03632,LTE
A,Drive,Download,-77,39404.45676,LTE
A,Drive,Download,-98,1971.865005,LTE
A,Drive,Download,-87.5,9843.351079,LTE
A,Drive,Download,-98,2050.621891,LTE
A,Drive,Download,-102,2465.039556,LTE
A,Drive,Download,-99,3315.463534,LTE
A,Drive,Download,-96.5,5006.834743,LTE
A,Drive,Download,-93,4878.425465,LTE
A,Drive,Download,-90,7185.582317,LTE
A,Drive,Download,-88,22681.64296,LTE
A,Drive,Download,-72,30367.95457,LTE
A,Drive,Download,-94.5,4035.705177,LTE
A,Drive,Download,-90,28557.6742,LTE
A,Drive,Download,-93.66666667,7007.185368,LTE
A,Drive,Download,-65,38814.9807,LTE
A,Drive,Download,-100,7480.205414,LTE
A,Drive,Download,-92,9330.011691,LTE
A,Drive,Download,-97,16528.66307,LTE
A,Drive,Download,-93,13945.9648,LTE
A,Drive,Download,-95,16413.44427,LTE
A,Drive,Download,-96,7355.098039,LTE
A,Drive,Download,-104,1173.291158,LTE
A,Drive,Download,-106.6666667,1247.889334,LTE
A,Drive,Download,,5980.074909,"HSPA,HSPA+"
A,Drive,Download,-69.66666667,19644.6702,LTE
A,Drive,Download,-94,21717.01668,LTE
A,Drive,Download,-87.33333333,32418.92164,LTE
A,Drive,Download,-102,15975.83068,LTE
A,Drive,Download,-103,1298.277298,LTE
A,Drive,Download,-101,7483.796473,LTE
A,Drive,Download,-108.6666667,2130.814006,LTE
A,Drive,Download,-102.5,10197.10998,LTE
A,Drive,Download,-85,21038.53029,LTE
A,Drive,Download,-96.66666667,5641.93073,LTE
A,Drive,Download,-78.5,16116.38878,LTE
A,Drive,Download,-71,25527.42155,LTE
A,Drive,Download,-98,1424.154742,LTE
A,Drive,Download,-106.6666667,2556.766824,LTE
A,Drive,Download,-65.66666667,21051.7402,LTE
A,Drive,Download,-87.33333333,17185.28175,LTE
A,Drive,Download,-95.25,8337.019761,LTE
A,Drive,Download,-94,5595.45856,LTE
A,Drive,Download,-85.66666667,13560.5039,LTE
A,Drive,Download,-104,16152.34779,LTE
A,Drive,Download,-93,7791.194017,LTE
A,Drive,Download,-96.66666667,11688.34596,LTE
A,Drive,Download,-97.5,1788.452417,LTE
A,Drive,Download,-108.6666667,1211.328319,LTE
A,Drive,Download,-84.33333333,15847.86179,LTE
A,Drive,Download,-91,19933.40844,LTE
A,Drive,Download,-81.33333333,50849.60164,LTE
A,Drive,Download,-84.66666667,21469.99395,LTE
A,Drive,Download,-98,12010.04105,LTE
A,Drive,Download,-93.5,13145.41646,LTE
A,Drive,Download,-65,72329.73955,LTE
A,Drive,Download,-102,11893.23012,LTE
A,Drive,Download,-96,23493.94187,LTE
A,Drive,Download,-94.33333333,21618.21581,LTE
A,Drive,Download,-99,8461.676843,LTE
A,Drive,Download,-102,2608.491656,LTE
A,Drive,Download,-85.5,24388.42689,LTE
A,Drive,Download,-82,32377.6021,LTE
A,Drive,Download,-82.66666667,26049.76944,LTE
A,Drive,Download,-90,14103.9141,LTE
A,Drive,Download,-85,34122.31621,LTE
A,Drive,Download,-63,43487.07263,LTE
A,Drive,Download,-83.66666667,20486.44164,LTE
A,Drive,Download,-99.66666667,5992.386948,LTE
A,Drive,Download,-98.33333333,24574.42593,LTE
A,Drive,Download,-93,18373.42687,LTE
A,Drive,Download,-88,24051.38908,LTE
A,Drive,Download,-71,44040.84877,LTE
A,Drive,Download,-92,20975.07773,LTE
A,Drive,Download,-111,3123.461605,LTE
A,Drive,Download,-107,10986.82998,LTE
A,Drive,Download,-107,12741.61691,LTE
A,Drive,Download,-108.3333333,5663.215015,LTE
A,Drive,Download,-69.66666667,74580.90056,LTE
A,Drive,Download,-94.66666667,15086.76147,LTE
A,Drive,Download,-96.5,18911.02849,LTE
A,Drive,Download,-104,11895.77612,LTE
A,Drive,Download,-69,56520.68744,LTE
A,Drive,Download,-89,25556.34251,LTE
A,Drive,Download,-94,29064.41916,LTE
A,Drive,Download,-106.5,5902.85004,LTE
A,Drive,Download,-94,27848.96094,LTE
A,Drive,Download,-66,53650.53307,LTE
A,Drive,Download,-92.66666667,9721.069468,LTE
A,Drive,Download,-91.66666667,23841.55102,LTE
A,Drive,Download,-92,15235.71983,LTE
A,Drive,Download,-94.5,14028.79231,LTE
A,Drive,Download,-101,12807.84812,LTE
A,Drive,Download,-90.33333333,10198.98331,LTE
A,Drive,Download,-104.3333333,4740.109575,LTE
A,Drive,Download,-90,28840.61005,LTE
A,Drive,Download,-101,23315.77702,LTE
A,Drive,Download,-75.33333333,29678.5114,LTE
A,Drive,Download,-95.33333333,22772.02601,LTE
A,Drive,Download,-91,15200.36333,LTE
A,Drive,Download,-82,23785.99006,LTE
A,Drive,Download,-77.5,26234.52491,LTE
A,Drive,Download,-99,4266.024204,LTE
A,Drive,Download,-100,5761.23005,LTE
A,Drive,Download,-81.33333333,17777.10486,LTE
A,Drive,Download,-100.3333333,9059.435458,LTE
A,Drive,Download,-98,16616.78817,LTE
A,Drive,Download,-99.33333333,14836.39462,LTE
A,Drive,Download,-104.6666667,14964.08862,LTE
A,Drive,Download,-96.33333333,26295.26154,LTE
A,Drive,Download,-98.33333333,5830.145745,LTE
A,Drive,Download,-62.33333333,49967.35479,LTE
A,Drive,Download,-94.75,8830.621555,LTE
A,Drive,Download,-77.5,48006.59698,LTE
A,Drive,Download,-89,24303.21648,LTE
A,Drive,Download,-94.66666667,17584.3552,LTE
A,Drive,Download,-89.66666667,22382.86917,LTE
A,Drive,Download,-93.5,12158.16577,LTE
A,Drive,Download,,4566.41192,"HSPA,HSPA+"
A,Drive,Download,-105.3333333,4754.676727,LTE
A,Drive,Download,,4025.278107,"HSPA,HSPA+"
A,Drive,Download,-90.5,8124.722273,LTE
A,Drive,Download,-103.5,5985.70519,LTE
A,Drive,Download,-88.66666667,15306.81486,LTE
A,Drive,Download,-79.33333333,20846.10039,LTE
A,Drive,Download,-89,30638.60972,LTE
A,Drive,Download,-93,13383.12218,LTE
A,Drive,Download,-94.5,18778.08811,LTE
A,Drive,Download,-104,25675.86129,LTE
A,Drive,Download,-64.33333333,76113.71125,LTE
A,Drive,Download,-70,69606.94461,LTE
A,Drive,Download,-72.33333333,61800.24135,LTE
A,Drive,Download,-91,12113.64118,LTE
A,Drive,Download,-91,16983.36432,LTE
A,Drive,Download,-91.5,42924.13534,LTE
A,Drive,Download,-91,18399.75684,LTE
A,Drive,Download,-101,15217.02027,LTE
A,Drive,Download,-98.5,31968.92757,LTE
A,Drive,Download,-104,8678.883952,LTE
A,Drive,Download,-94.33333333,9962.790563,LTE
A,Drive,Download,-78,51527.01341,LTE
A,Drive,Download,-85,35349.7644,LTE
A,Drive,Download,-106,11943.12499,LTE
A,Drive,Download,-67,74961.03132,LTE
A,Drive,Download,-86,24988.55766,LTE
A,Drive,Download,-102.6666667,14935.71486,LTE
A,Drive,Download,-81,39068.83031,LTE
A,Drive,Download,-103,13771.31899,LTE
A,Drive,Download,-88,34779.06973,LTE
A,Drive,Download,-95.5,5000.759014,LTE
A,Drive,Download,-95.66666667,29223.31492,LTE
A,Drive,Download,-90,18180.07721,LTE
A,Drive,Download,-84,49798.81535,LTE
A,Drive,Download,-87.33333333,14230.61128,LTE
A,Drive,Download,-91,16459.68303,LTE
A,Drive,Download,-102.6666667,7653.877518,LTE
A,Drive,Download,-103.6666667,6407.552199,LTE
A,Drive,Download,-68.5,37781.41346,LTE
A,Drive,Download,-92.5,31710.75025,LTE
A,Drive,Download,-98.66666667,11914.03994,LTE
A,Drive,Download,-111.6666667,4335.3312,LTE
A,Drive,Download,-97.66666667,11547.00911,LTE
A,Drive,Download,,7392.306392,"HSPA,HSPA+"
A,Drive,Download,-85,20156.59936,LTE
A,Drive,Download,,8166.66015,"HSPA,HSPA+"
A,Drive,Download,-97,12742.98541,LTE
A,Drive,Download,-105,11305.25488,LTE
A,Drive,Download,-92.33333333,20616.10763,LTE
A,Drive,Download,-66.66666667,41442.13217,LTE
A,Drive,Download,-98.5,19032.12854,LTE
A,Drive,Download,-101,24998.14513,LTE
A,Drive,Download,-94.33333333,18838.55241,LTE
A,Drive,Download,-92.33333333,20289.70265,LTE
A,Drive,Download,-99,17889.65122,LTE
A,Drive,Download,-98,15155.27228,LTE
A,Drive,Download,-98.33333333,20821.43152,LTE
A,Drive,Download,-99,11691.92911,LTE
A,Drive,Download,-94,21797.73022,LTE
A,Drive,Download,-99,10339.19476,LTE
A,Drive,Download,-93,27980.22908,LTE
A,Drive,Download,-103.5,7536.939917,LTE
A,Drive,Download,-89.5,21118.52968,LTE
A,Drive,Download,-71.66666667,55764.96229,LTE
A,Drive,Download,-94,20319.79145,LTE
A,Drive,Download,-85.33333333,21428.66856,LTE
A,Drive,Download,-98,21480.61182,LTE
A,Drive,Download,-93.66666667,18941.57258,LTE
A,Drive,Download,-88.5,28276.08154,LTE
A,Drive,Download,-96,25078.37831,LTE
A,Drive,Download,-107.5,8240.69352,LTE
A,Drive,Download,-111,2190.878534,LTE
A,Drive,Download,-108,5475.99159,LTE
A,Drive,Download,-106.6666667,13801.63097,LTE
A,Drive,Download,-101.5,5624.88999,LTE
A,Drive,Download,-98,13222.71119,LTE
A,Drive,Download,-94.33333333,23853.83684,LTE
A,Drive,Download,-88,37582.55744,LTE
A,Drive,Download,-79.33333333,39115.6869,LTE
A,Drive,Download,-88,40859.19507,LTE
A,Drive,Download,-84.33333333,38463.06512,LTE
A,Drive,Download,-91.5,13446.73973,LTE
A,Drive,Download,-93,10764.62192,LTE
A,Drive,Download,-98,12956.56511,LTE
A,Drive,Download,-94.5,37397.65721,LTE
A,Drive,Download,-78,26706.58299,LTE
A,Drive,Download,-112,1346.666183,LTE
A,Drive,Download,-86,40196.84023,LTE
A,Drive,Download,-90,17487.11767,LTE
A,Drive,Download,-76.5,59043.96861,LTE
A,Drive,Download,-89,28792.70882,LTE
A,Drive,Download,-84,71264.79926,LTE
A,Drive,Download,-103,20724.29557,LTE
A,Drive,Download,-98,31273.20112,LTE
A,Drive,Download,-69,47252.33759,LTE
A,Drive,Download,-91.66666667,27403.3497,LTE
A,Drive,Download,-73,48002.27886,LTE
A,Drive,Download,-92.33333333,11856.79854,LTE
A,Drive,Download,-87.66666667,14821.38745,LTE
A,Drive,Download,-91,28525.47616,LTE
A,Drive,Download,-89,25880.0263,LTE
